trial_eye,last_key,radius,x,y
right,LEFT,30,-10,0
right,RIGHT,30,0,0
right,RIGHT,30,10,0
right,RIGHT,30,20,0
right,RIGHT,30,30,0
right,RIGHT,30,40,0
right,RIGHT,30,50,0
right,RIGHT,30,60,0
right,RIGHT,30,70,0
right,RIGHT,30,80,0
right,RIGHT,30,90,0
right,RIGHT,30,100,0
right,RIGHT,30,110,0
right,RIGHT,30,120,0
right,RIGHT,30,130,0
right,RIGHT,30,140,0
right,RIGHT,30,150,0
right,RIGHT,30,160,0
right,RIGHT,30,170,0
right,RIGHT,30,180,0
right,RIGHT,30,190,0
right,RIGHT,30,200,0
right,RIGHT,30,210,0
right,RIGHT,30,220,0
right,LEFT,30,210,0
right,LEFT,30,200,0
right,LEFT,30,190,0
right,LEFT,30,180,0
right,LEFT,30,170,0
right,LEFT,30,160,0
right,LEFT,30,150,0
right,LEFT,30,140,0
right,LEFT,30,130,0
right,LEFT,30,120,0
right,LEFT,30,110,0
right,LEFT,30,100,0
right,LEFT,30,90,0
right,LEFT,30,80,0
right,RIGHT,30,90,0
right,RIGHT,30,100,0
right,RIGHT,30,110,0
right,RIGHT,30,120,0
right,RIGHT,30,130,0
right,RIGHT,30,140,0
right,RIGHT,30,150,0
right,RIGHT,30,160,0
right,RIGHT,30,170,0
right,RIGHT,30,180,0
right,RIGHT,30,190,0
right,RIGHT,30,200,0
right,RIGHT,30,210,0
right,RIGHT,30,220,0
right,RIGHT,30,230,0
right,RIGHT,30,240,0
right,RIGHT,30,250,0
right,RIGHT,30,260,0
right,RIGHT,30,270,0
right,RIGHT,30,280,0
right,RIGHT,30,290,0
right,RIGHT,30,300,0
right,LEFT,30,290,0
right,LEFT,30,280,0
right,LEFT,30,270,0
right,LEFT,30,260,0
right,LEFT,30,250,0
right,1,40,250,0
right,2,30,250,0
right,2,20,250,0
right,LEFT,20,240,0
right,LEFT,20,230,0
right,LEFT,20,220,0
right,LEFT,20,210,0
right,LEFT,20,200,0
right,LEFT,20,190,0
right,LEFT,20,180,0
right,LEFT,20,170,0
right,LEFT,20,160,0
right,RIGHT,20,170,0
right,RIGHT,20,180,0
right,RIGHT,20,190,0
right,RIGHT,20,200,0
right,RIGHT,20,210,0
right,RIGHT,20,220,0
right,RIGHT,20,230,0
right,RIGHT,20,240,0
right,LEFT,20,230,0
right,LEFT,20,220,0
right,LEFT,20,210,0
right,LEFT,20,200,0
right,LEFT,20,190,0
right,LEFT,20,180,0
right,LEFT,20,170,0
right,LEFT,20,160,0
right,LEFT,20,150,0
right,LEFT,20,140,0
right,LEFT,20,130,0
right,LEFT,20,120,0
right,LEFT,20,110,0
right,LEFT,20,100,0
right,RIGHT,20,110,0
right,RIGHT,20,120,0
right,RIGHT,20,130,0
right,RIGHT,20,140,0
right,RIGHT,20,150,0
right,RIGHT,20,160,0
right,RIGHT,20,170,0
right,RIGHT,20,180,0
right,RIGHT,20,190,0
right,RIGHT,20,200,0
right,RIGHT,20,210,0
right,RIGHT,20,220,0
right,RIGHT,20,230,0
right,RIGHT,20,240,0
right,RIGHT,20,250,0
right,RIGHT,20,260,0
right,RIGHT,20,270,0
right,RIGHT,20,280,0
right,RIGHT,20,290,0
right,RIGHT,20,300,0
right,RIGHT,20,310,0
right,RIGHT,20,320,0
right,RIGHT,20,330,0
right,RIGHT,20,340,0
right,RIGHT,20,350,0
right,RIGHT,20,360,0
right,LEFT,20,350,0
right,LEFT,20,340,0
